Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;16.11.1980;0;4
Lyfjord;SN90570;17.11.1980;0;4
Lyfjord;SN90570;18.11.1980;6,3;9
Lyfjord;SN90570;19.11.1980;5,2;17
Lyfjord;SN90570;20.11.1980;0,6;17
Lyfjord;SN90570;21.11.1980;0;17
Lyfjord;SN90570;22.11.1980;0;17
Lyfjord;SN90570;23.11.1980;0;17
Lyfjord;SN90570;24.11.1980;4,3;17
Lyfjord;SN90570;25.11.1980;17;34
Lyfjord;SN90570;26.11.1980;2,5;34
Lyfjord;SN90570;27.11.1980;0,2;34
Lyfjord;SN90570;28.11.1980;3,4;35
Lyfjord;SN90570;29.11.1980;0;35
Lyfjord;SN90570;30.11.1980;5,1;39
Lyfjord;SN90570;01.12.1980;5,5;40
Lyfjord;SN90570;02.12.1980;5,6;33
Lyfjord;SN90570;03.12.1980;6;36
Lyfjord;SN90570;04.12.1980;2,7;37
Lyfjord;SN90570;05.12.1980;5;38
Lyfjord;SN90570;06.12.1980;4,2;39
Lyfjord;SN90570;07.12.1980;2,1;40
Lyfjord;SN90570;08.12.1980;0;40
Lyfjord;SN90570;09.12.1980;0;40
Lyfjord;SN90570;10.12.1980;4,3;41
Lyfjord;SN90570;11.12.1980;5,9;42
Lyfjord;SN90570;12.12.1980;2,5;40
Lyfjord;SN90570;13.12.1980;10;49
Lyfjord;SN90570;14.12.1980;0,8;45
Lyfjord;SN90570;15.12.1980;12,3;63
Lyfjord;SN90570;16.12.1980;3,9;64
Lyfjord;SN90570;17.12.1980;10,3;63
Lyfjord;SN90570;18.12.1980;0;60
Lyfjord;SN90570;19.12.1980;0;56
Lyfjord;SN90570;20.12.1980;0;55
Lyfjord;SN90570;21.12.1980;0;54
Lyfjord;SN90570;22.12.1980;0;53
Lyfjord;SN90570;23.12.1980;0;51
Lyfjord;SN90570;24.12.1980;0;51
Lyfjord;SN90570;25.12.1980;0;51
Lyfjord;SN90570;26.12.1980;0,6;51
Lyfjord;SN90570;27.12.1980;0;51
Lyfjord;SN90570;28.12.1980;0;32
Lyfjord;SN90570;29.12.1980;4,3;22
Lyfjord;SN90570;30.12.1980;5,2;31
Lyfjord;SN90570;31.12.1980;10,5;36
Lyfjord;SN90570;01.01.1981;0;36
Lyfjord;SN90570;02.01.1981;0;36
Lyfjord;SN90570;03.01.1981;2,9;38
Lyfjord;SN90570;04.01.1981;1,4;39
Lyfjord;SN90570;05.01.1981;0;39
Lyfjord;SN90570;06.01.1981;0;39
Lyfjord;SN90570;07.01.1981;0;39
Lyfjord;SN90570;08.01.1981;3,3;42
Lyfjord;SN90570;09.01.1981;5,2;45
Lyfjord;SN90570;10.01.1981;4,6;47
Lyfjord;SN90570;11.01.1981;6;30
Lyfjord;SN90570;12.01.1981;2;25
Lyfjord;SN90570;13.01.1981;0;24
Lyfjord;SN90570;14.01.1981;7;33
Lyfjord;SN90570;15.01.1981;0;33
Lyfjord;SN90570;16.01.1981;0;33
Lyfjord;SN90570;17.01.1981;3;39
Lyfjord;SN90570;18.01.1981;0;39
Lyfjord;SN90570;19.01.1981;0;36
Lyfjord;SN90570;20.01.1981;0;36
Lyfjord;SN90570;21.01.1981;0;36
Lyfjord;SN90570;22.01.1981;0;36
Lyfjord;SN90570;23.01.1981;3,3;34
Lyfjord;SN90570;24.01.1981;7,6;36
Lyfjord;SN90570;25.01.1981;10,4;36
Lyfjord;SN90570;26.01.1981;5,2;39
Lyfjord;SN90570;27.01.1981;16,2;38
